조사년월일,측정소이름,측정지역,일일강수량
20210803,강남,강남구,0.5
20210803,강동,강동구,0
20210803,강북,강북구,2.5
20210803,강서,강서구,0
20210803,관악,관악구,0
20210803,광진,광진구,1
20210803,구로,구로구,0
20210803,금천,금천구,0
20210803,노원,노원구,0
20210803,도봉,도봉구,18.5
20210803,동대문,동대문구,0.5
20210803,마포,마포구,0
20210803,서대문,서대문구,0
20210803,서초,서초구,0
20210803,성동,성동구,0
20210803,성북,성북구,0
20210803,송파,송파구,0
20210803,양천,양천구,0
20210803,영등포,영등포구,0
20210803,용산,용산구,0
20210803,은평,은평구,0
20210803,중구,중구,0
20210804,강남,강남구,0
20210804,강동,강동구,0
20210804,강북,강북구,0
20210804,강서,강서구,0
20210804,관악,관악구,0
20210804,광진,광진구,0
20210804,구로,구로구,0
20210804,금천,금천구,0
20210804,노원,노원구,0
20210804,도봉,도봉구,0
20210804,동대문,동대문구,0
20210804,마포,마포구,0
20210804,서대문,서대문구,0
20210804,서초,서초구,0
20210804,성동,성동구,0
20210804,성북,성북구,0
20210804,송파,송파구,0
20210804,양천,양천구,0
20210804,영등포,영등포구,0
20210804,용산,용산구,0
20210804,은평,은평구,0
20210804,중구,중구,0
20210805,강남,강남구,0
20210805,강동,강동구,0
20210805,강북,강북구,0
20210805,강서,강서구,0
20210805,관악,관악구,0
20210805,광진,광진구,0
20210805,구로,구로구,0
20210805,금천,금천구,0
20210805,노원,노원구,0
20210805,도봉,도봉구,0
20210805,동대문,동대문구,0
20210805,마포,마포구,0
20210805,서대문,서대문구,0
20210805,서초,서초구,0
20210805,성동,성동구,0
20210805,성북,성북구,0
20210805,송파,송파구,0.5
20210805,양천,양천구,0
20210805,영등포,영등포구,0
20210805,용산,용산구,0
20210805,은평,은평구,0
20210805,중구,중구,0
20210806,강남,강남구,0
20210806,강동,강동구,0
20210806,강북,강북구,0
20210806,강서,강서구,0
20210806,관악,관악구,0
20210806,광진,광진구,0
20210806,구로,구로구,0
20210806,금천,금천구,0
20210806,노원,노원구,0
20210806,도봉,도봉구,0
20210806,동대문,동대문구,0
20210806,마포,마포구,0
20210806,서대문,서대문구,0
20210806,서초,서초구,0
20210806,성동,성동구,0
20210806,성북,성북구,0
20210806,송파,송파구,0
20210806,양천,양천구,0
20210806,영등포,영등포구,0
20210806,용산,용산구,0
20210806,은평,은평구,0
20210806,중구,중구,0
20210807,강남,강남구,0
20210807,강동,강동구,0
20210807,강북,강북구,0
20210807,관악,관악구,0
20210807,광진,광진구,0
20210807,구로,구로구,0
20210807,금천,금천구,0
20210807,노원,노원구,0
20210807,도봉,도봉구,0
20210807,동대문,동대문구,0
20210807,마포,마포구,0
20210807,서대문,서대문구,0
20210807,서초,서초구,0
20210807,성동,성동구,0
20210807,성북,성북구,0
20210807,송파,송파구,0
20210807,양천,양천구,0
20210807,영등포,영등포구,0
20210807,용산,용산구,0
20210807,은평,은평구,0
20210807,중구,중구,0
20210808,강남,강남구,0
20210808,강동,강동구,0
20210808,강북,강북구,0
20210808,강서,강서구,1
20210808,관악,관악구,2
20210808,광진,광진구,0
20210808,구로,구로구,2.5
20210808,금천,금천구,1
20210808,노원,노원구,0
20210808,도봉,도봉구,0
20210808,동대문,동대문구,0
20210808,마포,마포구,35
20210808,서대문,서대문구,38.5
20210808,서초,서초구,1
20210808,성동,성동구,0
20210808,성북,성북구,0
20210808,송파,송파구,0
20210808,양천,양천구,21
20210808,영등포,영등포구,27
20210808,용산,용산구,18
20210808,은평,은평구,5
20210808,중구,중구,3.5
20210809,강남,강남구,0
20210809,강동,강동구,0
20210809,강북,강북구,0
20210809,강서,강서구,0
20210809,관악,관악구,0
20210809,광진,광진구,0
20210809,구로,구로구,0
20210809,금천,금천구,0
20210809,노원,노원구,0
20210809,도봉,도봉구,0
20210809,동대문,동대문구,0
20210809,마포,마포구,0
20210809,서대문,서대문구,0
20210809,서초,서초구,8.5
20210809,성동,성동구,0
20210809,성북,성북구,0
20210809,송파,송파구,0
20210809,양천,양천구,0
20210809,영등포,영등포구,0
20210809,용산,용산구,0
20210809,은평,은평구,0
20210809,중구,중구,0
20210810,강남,강남구,0
20210810,강동,강동구,0
20210810,강북,강북구,9
20210810,강서,강서구,0
20210810,관악,관악구,0
20210810,광진,광진구,0
20210810,구로,구로구,0
20210810,금천,금천구,0
20210810,노원,노원구,9
20210810,도봉,도봉구,1
20210810,동대문,동대문구,0
20210810,마포,마포구,0
20210810,서대문,서대문구,0
20210810,서초,서초구,0
20210810,성동,성동구,0
20210810,성북,성북구,1
20210810,송파,송파구,0
20210810,양천,양천구,0
20210810,영등포,영등포구,0
20210810,용산,용산구,0
20210810,은평,은평구,3
20210810,중구,중구,0
20210811,강남,강남구,0
20210811,강동,강동구,0
20210811,강북,강북구,2
20210811,강서,강서구,0
20210811,관악,관악구,0.5
20210811,광진,광진구,0
20210811,구로,구로구,13
20210811,금천,금천구,2.5
20210811,노원,노원구,0.5
20210811,도봉,도봉구,0.5
20210811,동대문,동대문구,0
20210811,마포,마포구,0
20210811,서대문,서대문구,0
20210811,서초,서초구,0
20210811,성동,성동구,0
20210811,성북,성북구,0.5
20210811,송파,송파구,0
20210811,양천,양천구,0
20210811,영등포,영등포구,0
20210811,용산,용산구,0
20210811,은평,은평구,0.5
20210811,중구,중구,0
20210812,강남,강남구,3
20210812,강동,강동구,1
20210812,강북,강북구,1
20210812,강서,강서구,0
20210812,관악,관악구,0
20210812,광진,광진구,10
20210812,구로,구로구,0
20210812,금천,금천구,5
20210812,노원,노원구,3
20210812,도봉,도봉구,1.5
20210812,동대문,동대문구,10
20210812,마포,마포구,1
20210812,서대문,서대문구,0
20210812,서초,서초구,5
20210812,성동,성동구,33.5
20210812,성북,성북구,3.5
20210812,송파,송파구,4
20210812,양천,양천구,0
20210812,영등포,영등포구,0
20210812,용산,용산구,13
20210812,중구,중구,2.5
20210813,강남,강남구,0
20210813,강동,강동구,0
20210813,강북,강북구,0
20210813,강서,강서구,0
20210813,관악,관악구,0
20210813,광진,광진구,0
20210813,구로,구로구,0
20210813,금천,금천구,0
20210813,노원,노원구,0
20210813,도봉,도봉구,0
20210813,동대문,동대문구,0
20210813,마포,마포구,0
20210813,서대문,서대문구,0
20210813,서초,서초구,0
20210813,성동,성동구,0
20210813,성북,성북구,0
20210813,송파,송파구,0
20210813,양천,양천구,0
20210813,영등포,영등포구,0
20210813,용산,용산구,0
20210813,은평,은평구,0
20210813,중구,중구,0
20210814,강남,강남구,0
20210814,강동,강동구,0
20210814,강북,강북구,0
20210814,강서,강서구,0
20210814,관악,관악구,0
20210814,광진,광진구,0
20210814,구로,구로구,0
20210814,금천,금천구,0
20210814,노원,노원구,0
20210814,도봉,도봉구,0
20210814,동대문,동대문구,0
20210814,마포,마포구,0
20210814,서대문,서대문구,0
20210814,서초,서초구,0
20210814,성동,성동구,0
20210814,성북,성북구,0
20210814,송파,송파구,0
20210814,양천,양천구,0
20210814,영등포,영등포구,0
20210814,용산,용산구,0
20210814,은평,은평구,0
20210814,중구,중구,0
20210815,강남,강남구,0
20210815,강동,강동구,0
20210815,강북,강북구,0
20210815,강서,강서구,0
20210815,관악,관악구,0
20210815,광진,광진구,0
20210815,구로,구로구,0
20210815,금천,금천구,0
20210815,노원,노원구,0
20210815,도봉,도봉구,0
20210815,동대문,동대문구,0
20210815,마포,마포구,0
20210815,서대문,서대문구,0
20210815,서초,서초구,0
20210815,성동,성동구,0
20210815,성북,성북구,0
20210815,송파,송파구,0
20210815,양천,양천구,0
20210815,영등포,영등포구,0
20210815,용산,용산구,0
20210815,은평,은평구,0
20210815,중구,중구,0
20210816,강남,강남구,0
20210816,강동,강동구,0
20210816,강북,강북구,0
20210816,강서,강서구,10
20210816,관악,관악구,0
20210816,광진,광진구,0
20210816,구로,구로구,0
20210816,금천,금천구,0
20210816,노원,노원구,0
20210816,도봉,도봉구,0
20210816,동대문,동대문구,0
20210816,마포,마포구,0.5
20210816,서대문,서대문구,0
20210816,서초,서초구,0
20210816,성동,성동구,0
20210816,성북,성북구,0
20210816,송파,송파구,0
20210816,양천,양천구,36.5
20210816,영등포,영등포구,8.5
20210816,용산,용산구,0
20210816,은평,은평구,12
20210816,중구,중구,0
20210817,강남,강남구,5
20210817,강동,강동구,2.5
20210817,강북,강북구,5.5
20210817,관악,관악구,12
20210817,광진,광진구,4.5
20210817,구로,구로구,20
20210817,금천,금천구,26.5
20210817,노원,노원구,3
20210817,도봉,도봉구,4.5
20210817,동대문,동대문구,6.5
20210817,마포,마포구,17
20210817,서대문,서대문구,11.5
20210817,서초,서초구,9.5
20210817,성동,성동구,11
20210817,성북,성북구,7
20210817,송파,송파구,4.5
20210817,양천,양천구,14.5
20210817,영등포,영등포구,22
20210817,용산,용산구,15.5
20210817,은평,은평구,13.5
20210817,중구,중구,7.5
20210818,강남,강남구,11.5
